Syntax version=4
Fri Apr 28 14:34:06 2017
Starting process (2666410000 clocks per sec)

LogRawData=false
VarHeader=1
D:		new_0	new_1	new_2	new_3
D:	time(ms)	(0x20000644,2)	(0x20000646,2)	(0x20000648,2)	(0x2000064a,2)
D:	1678.55	620	5	1387	0
D:	1684.56	648	3	1386	0
D:	1690.58	671	4	1388	0
D:	1696.60	696	1	1386	0
D:	1702.54	701	2	1386	0
D:	1709.01	719	5	1387	0
D:	1714.57	742	4	1388	0
D:	1720.55	744	3	1387	0
D:	1726.55	746	1	1388	0
D:	1732.57	767	6	1390	0
D:	1738.55	767	5	1387	0
D:	1744.55	771	0	1387	0
D:	1750.55	790	0	1387	0
D:	1756.57	795	6	1386	0
D:	1762.55	813	2	1388	0
D:	1768.55	814	1	1385	0
D:	1774.55	814	1	1388	0
D:	1780.56	816	2	1388	0
D:	1786.55	814	4	1389	0
D:	1792.54	813	2	1389	0
D:	1798.56	815	0	1386	0
D:	1804.56	815	3	1386	0
D:	1810.55	814	3	1387	0
D:	1816.55	818	1	1388	0
D:	1822.56	839	0	1387	0
D:	1828.54	836	0	1389	0
D:	1834.54	840	4	1388	0
D:	1840.55	842	0	1386	0
D:	1846.56	861	5	1385	0
D:	1852.55	861	0	1387	0
D:	1858.55	862	3	1386	0
D:	1864.57	860	6	1387	0
D:	1870.54	860	1	1387	0
D:	1876.54	869	0	1385	0
D:	1882.55	883	0	1385	0
D:	1888.56	882	4	1388	0
D:	1894.54	882	0	1387	0
D:	1900.54	888	4	1386	0
D:	1906.57	911	0	1386	0
D:	1912.55	931	7	1386	0
D:	1918.54	927	5	1384	0
D:	1924.55	930	7	1386	0
D:	1930.56	929	2	1388	0
D:	1936.54	952	6	1387	0
D:	1942.55	956	7	1386	0
D:	1948.59	977	4	1387	0
D:	1954.55	975	5	1385	0
D:	1960.54	977	1	1386	0
D:	1966.54	997	2	1385	0
D:	1972.56	1001	3	1388	0
D:	1978.54	1020	0	1385	0
D:	1984.55	1023	7	1387	0
D:	1990.58	1064	6	1386	0
D:	1996.55	1063	3	1386	0
D:	2002.54	1087	6	1385	0
D:	2008.54	1107	4	1387	0
D:	2014.57	1131	0	1388	0
D:	2020.54	1128	5	1387	0
D:	2026.54	1149	6	1387	0
D:	2035.27	1197	4	1387	0
D:	2041.55	1199	7	1387	0
D:	2047.54	1215	5	1387	0
D:	2053.54	1237	0	1387	0
D:	2059.57	1236	4	1385	0
D:	2065.55	1258	0	1389	0
D:	2071.55	1279	3	1386	0
D:	2077.58	1302	4	1386	0
D:	2083.55	1320	3	1390	0
D:	2089.53	1343	5	1385	0
D:	2095.54	1366	4	1385	0
D:	2101.57	1382	4	1386	0
D:	2107.55	1406	4	1386	0
D:	2113.54	1413	2	1388	0
D:	2121.62	1449	2	1385	0
D:	2127.56	1470	4	1386	0
D:	2133.54	1491	6	1389	0
D:	2139.55	1514	9	1386	0
D:	2145.55	1531	2	1388	0
D:	2151.56	1532	7	1388	0
D:	2157.54	1551	6	1386	0
D:	2163.58	1572	3	1384	0
D:	2171.55	1595	3	1388	0
D:	2179.87	1634	3	1386	0
D:	2187.71	1657	5	1387	0
D:	2193.55	1677	1	1383	0
D:	2199.54	1699	1	1387	0
D:	2206.26	1739	4	1387	0
D:	2213.08	1761	4	1384	0
D:	2219.54	1804	3	1387	0
D:	2225.77	1846	0	1385	0
D:	2231.55	1863	7	1388	0
D:	2237.54	1905	2	1386	0
D:	2243.54	1947	1	1384	0
D:	2249.88	1978	6	1385	0
D:	2259.58	2031	0	1388	0
D:	2265.59	2074	7	1388	0
D:	2273.58	2115	2	1386	0
D:	2279.56	2158	7	1387	0
D:	2285.57	2182	1	1389	0
D:	2291.60	2185	0	1386	0
D:	2297.54	2201	4	1390	0
D:	2303.54	2224	4	1387	0
D:	2309.53	2225	0	1387	0
D:	2315.56	2246	2	1388	0
D:	2321.55	2246	1	1388	0
D:	2327.53	2245	4	1389	0
D:	2333.57	2249	1	1386	0
D:	2339.54	2251	1	1385	0
D:	2345.53	2237	5	1387	0
D:	2351.53	2224	0	1387	0
D:	2357.57	2227	4	1386	0
D:	2363.55	2228	4	1387	0
D:	2369.54	2203	5	1389	0
D:	2375.55	2206	9	1388	0
D:	2381.55	2205	1	1388	0
D:	2387.53	2205	1	1386	0
D:	2393.53	2205	5	1386	0
D:	2399.56	2178	2	1388	0
D:	2405.54	2183	5	1385	0
D:	2411.54	2158	1	1387	0
D:	2417.54	2119	3	1386	0
D:	2423.55	2098	6	1385	0
D:	2429.53	2070	0	1384	0
D:	2435.53	2056	3	1387	0
D:	2441.54	2013	6	1386	0
D:	2447.55	1959	1	1387	0
D:	2453.54	1926	7	1387	0
D:	2459.54	1882	1	1389	0
D:	2465.55	1847	0	1386	0
D:	2471.53	1800	0	1386	0
D:	2477.53	1761	5	1385	0
D:	2483.53	1722	1	1389	0
D:	2487.56	1678	1	1385	0
D:	2493.53	1656	0	1389	0
D:	2499.53	1614	5	1385	0
D:	2505.56	1597	5	1386	0
D:	2511.54	1553	4	1387	0
D:	2517.53	1530	5	1386	0
D:	2523.53	1491	0	1388	0
D:	2529.56	1471	7	1385	0
D:	2535.56	1425	0	1386	0
D:	2541.53	1406	0	1387	0
D:	2547.56	1376	4	1389	0
D:	2553.54	1356	2	1386	0
D:	2559.53	1321	0	1387	0
D:	2565.53	1279	1	1388	0
D:	2571.56	1260	3	1387	0
D:	2577.54	1236	4	1387	0
D:	2583.53	1198	1	1388	0
D:	2589.54	1171	1	1385	0
D:	2595.56	1127	4	1385	0
D:	2601.60	1107	3	1385	0
D:	2608.56	1063	2	1385	0
D:	2614.56	1019	4	1385	0
D:	2620.54	997	1	1385	0
D:	2626.55	974	4	1390	0
D:	2632.59	927	0	1389	0
D:	2638.86	883	3	1387	0
D:	2645.55	859	4	1388	0
D:	2651.54	815	5	1384	0
D:	2657.53	771	6	1385	0
D:	2663.54	743	4	1388	0
D:	2669.53	696	5	1388	0
D:	2675.54	670	3	1388	0
D:	2681.55	621	5	1388	0
D:	2687.53	601	7	1388	0
D:	2693.55	575	1	1389	0
D:	2699.55	572	4	1386	0
D:	2705.54	571	6	1389	0
D:	2711.53	511	4	1384	0
D:	2717.54	511	9	1388	0
D:	2723.55	511	1	1388	0
D:	2729.53	511	6	1389	0
D:	2735.57	511	3	1388	0
D:	2741.53	511	1	1387	0
D:	2747.54	511	3	1388	0
D:	2753.54	511	4	1386	0
D:	2759.53	511	4	1384	0
D:	2765.55	511	4	1387	0
D:	2771.54	511	4	1385	0
D:	2777.54	511	2	1385	0
D:	2783.53	511	4	1386	0
D:	2789.54	511	4	1387	0
D:	2795.53	511	1	1386	0
D:	2801.54	511	4	1387	0
D:	2807.56	511	1	1389	0
D:	2813.53	529	7	1388	0
D:	2819.53	511	0	1387	0
D:	2825.53	529	6	1388	0
D:	2831.55	511	3	1391	0
D:	2837.53	529	4	1386	0
D:	2843.54	527	5	1387	0
D:	2849.56	511	5	1388	0
D:	2855.53	511	3	1388	0
D:	2861.55	511	4	1385	0
D:	2867.54	511	0	1386	0
D:	2873.56	511	4	1385	0
D:	2879.53	511	0	1387	0
D:	2885.53	511	2	1386	0
D:	2892.28	547	6	1387	0
D:	2897.53	547	0	1388	0
D:	2903.52	547	6	1389	0
D:	2909.52	546	1	1388	0
D:	2915.55	547	7	1392	0
D:	2921.54	547	1	1387	0
D:	2927.53	546	6	1389	0
D:	2933.53	547	5	1386	0
D:	2939.53	547	2	1388	0
D:	2945.52	548	0	1386	0
D:	2951.52	546	0	1386	0
D:	2958.25	547	1	1388	0
D:	2963.54	546	0	1387	0
D:	2969.53	547	7	1387	0
D:	2975.53	549	6	1386	0
D:	2981.55	547	2	1388	0
D:	2987.53	547	0	1389	0
D:	2993.52	547	3	1388	0
D:	2999.52	546	1	1386	0
